Geneid,C_1,C_2,C_3,WT_1,WT_2,WT_3,G_1,G_2,G_3
MYCTH_83041,1112,1904,1725,26028,33619,27045,10740,10141,11048
MYCTH_83040,1595,2673,2586,1107,1429,1291,2408,2453,2765
MYCTH_2127482,1913,3306,3367,4521,5880,4886,4989,5478,5568
MYCTH_2305769,257,400,396,446,791,679,967,1035,1130
MYCTH_2305770,59,103,83,353,459,357,478,467,569
MYCTH_2305771,43,59,67,77,136,89,87,61,84
MYCTH_t100,0,0,0,0,0,0,0,0,0
MYCTH_108416,8552,13436,11493,40383,53821,40843,49410,47509,53038
MYCTH_2305783,28831,49526,45212,78681,100354,81235,136653,129143,145157
MYCTH_83025,2866,4599,4612,31901,40575,34374,28637,29078,31079
MYCTH_2305791,445,769,731,1461,1887,1707,2000,1799,2064
MYCTH_2305792,44,50,53,898,1143,965,341,380,440
MYCTH_2305794,39,67,98,263,297,308,102,136,142
MYCTH_2305795,120,185,179,1379,1977,1513,652,561,619
MYCTH_83019,221,369,325,18305,23725,18788,5680,5505,5986
MYCTH_95427,95,121,127,25483,35033,27992,8175,8576,9560
MYCTH_2305804,176,313,208,364,522,542,296,305,449
MYCTH_52068,1,5,5,5,0,2,0,13,13
MYCTH_2305805,7,8,20,14,13,19,8,22,21
MYCTH_2305806,123,205,191,432,338,311,505,388,416
MYCTH_2305807,2,0,0,84,78,51,88,60,74
MYCTH_2305808,465,736,629,1728,2188,1906,2180,2083,2148
MYCTH_2305811,3059,5160,4739,7526,10179,8243,10878,9601,11075
MYCTH_2305813,364,639,486,11613,15748,13527,24000,23402,26534
MYCTH_2305814,115,140,150,316,366,359,540,531,539
MYCTH_51742,513,938,788,702,888,793,897,887,976
MYCTH_2305819,55,79,73,79,98,88,49,56,35
MYCTH_2118844,1,1,4,9,12,14,20,9,11
MYCTH_2118845,24,35,9,112,103,92,109,129,142
MYCTH_2315428,922,1610,1443,3666,3549,2603,3386,3410,3931
MYCTH_95413,18,30,26,72,94,44,55,66,57
MYCTH_95412,18,45,70,52,87,64,26,23,41
MYCTH_102997,16,5,5,2,2,4,11,4,2
MYCTH_108407,4061,6710,6446,406,425,331,205,266,228
MYCTH_2036724,36,26,55,56,54,48,35,64,41
MYCTH_116603,175,378,385,587,551,430,795,869,787
MYCTH_2305828,815,1263,993,6491,8358,5630,5381,4668,5167
MYCTH_2315429,16708,28053,26489,59254,77566,61572,40045,38082,43038
