Geneid,C1_1,C1_2,C1_3,C2_1,C2_2,C2_3,T1_1,T1_2,T1_3,T2_1,T2_2,T2_3
MYCTH_2299448,4.67,3.55,4.59,14.73,15.91,13.14,6.06,7.58,5.75,10.75,9.87,9.78
MYCTH_2299450,79.33,86.56,79,54.75,55.43,54.93,79.77,74.97,71.34,58.99,55.45,64.31
MYCTH_112905,12.08,11.02,11.92,30.02,31.96,29.6,12.7,14.43,12.79,10.32,11.77,10.83
MYCTH_2299456,14.28,14.4,14.93,56.74,50.5,46.02,12.1,11.92,12.18,42.02,45.24,42.96
MYCTH_2299460,22.12,20.5,22.32,30.07,31.75,30.9,20.13,19.15,20.8,21.56,23.96,21.43
MYCTH_2299462,41.53,40.87,45.9,57.58,56.99,66.1,32.44,27.29,29.76,44.3,47.03,52.17
MYCTH_2299464,24.86,22,22.6,31.88,34.35,33.26,21.61,21.28,22.78,17.55,18.07,16.58
MYCTH_2299469,0.33,0.35,0.43,0.76,0.72,0.68,0.5,0.58,0.34,0.81,0.54,0.43
MYCTH_2299470,56.25,46.8,55.68,93.32,102.84,109.42,41.2,43.62,46.06,66.12,74.82,58.49
MYCTH_2299473,2.57,2.16,1.88,2.71,2.69,2.94,1.66,1.39,6.96,2.61,3.04,2.61
MYCTH_2116256,4.81,4.75,4.57,5.52,6.27,6.15,4.97,3.65,3.43,3.77,4.42,5
MYCTH_2299478,3.86,2.7,3.76,5.12,7.12,6.26,2.67,1.61,3.46,2.84,2.99,3.09
MYCTH_2299479,1.37,1.36,2.42,2.17,2.36,2.39,1.26,1.67,1.67,0.83,1.16,1.59
MYCTH_2299483,29.25,26.44,24.96,318.9,320.66,320.6,13.48,13.47,14.15,125.56,125.8,122.04
MYCTH_2299489,2.56,3.19,2.98,6.33,5.7,7.03,3.51,2.38,6.26,5.55,6.61,7.19
MYCTH_97480,0.65,0.71,0.8,2.29,2.38,2.51,0.56,0.22,0.56,1.01,0.57,1.12
MYCTH_104802,26.6,23.55,26.48,66.18,66.42,62.86,30.73,31.4,33.63,37.98,38.22,37.89
MYCTH_2124479,1.59,1.62,1.22,2.91,2.35,3.11,0.81,0.34,0.79,2.24,1.7,1.97
MYCTH_2108166,0,0.03,0.02,0.07,0.07,0.05,0,0.03,0,0.04,0,0.02
MYCTH_t27,0,0,0,0,0,0,0,0,0,0,0,0
MYCTH_2299494,8.35,9.53,8.63,16.06,16.76,15.24,4.86,3.16,6.92,6.93,7.77,7.99
MYCTH_2124482,0,0.1,0,0,0,0.04,0,0,0.05,0,0,0
MYCTH_2299495,58.51,58.7,58.33,83.75,75.21,80.09,51.77,55.02,56.14,74.51,69.16,75.88
MYCTH_36908,0.38,0.67,1.11,6.71,7.39,2.8,1.46,1.46,0.64,3.42,4.62,4.47
MYCTH_2299497,4.79,4.93,5.15,5.65,5,6.42,2.55,2.02,2.85,3.54,2.87,3.61
MYCTH_109566,220.16,200.02,224.55,3373.42,3562.01,3641.41,1333.69,1169.59,2390.03,6074.71,6079.22,5955.24
