Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
MYCTH_2074077	942.736111677069	-0.217248393422997	0.0937920564734355	-2.31627710908043	0.0205431433588226	0.0265445807426586
MYCTH_59591	32712.2818717215	-0.546033697435047	0.0560399902973857	-9.74364368261712	1.96383710267318e-22	6.7753171273934e-22
MYCTH_2299252	1366.95650787857	0.51813838826375	0.0881752343858096	5.87623488469157	4.19702701092933e-09	8.61230344945791e-09
MYCTH_2299254	927.073552862259	-0.223889742076592	0.0985722526510241	-2.2713262206681	0.0231272370650076	0.029726588259931
MYCTH_59585	975.499694488788	0.362373639465002	0.0938946232836494	3.8593651776023	0.000113681954050304	0.000177185761291
MYCTH_2299259	6097.27956807114	1.02929840953134	0.0586288081580976	17.5561885337282	5.33387026479332e-69	5.26197362643148e-68
MYCTH_2299262	8996.15892921509	0.53310162222334	0.0857150121742438	6.21946621368538	4.9884902172223e-10	1.07733774855169e-09
MYCTH_2299267	256.053777218096	0.292299653087223	0.175866280271894	1.66205626590453	0.0965014933836211	0.115378705367767
MYCTH_2299268	3844.92775197495	0.778473996030276	0.0656122388498255	11.86476806274	1.80401725372951e-32	8.33214657156733e-32
MYCTH_2299273	3769.54254683854	1.67910162662024	0.0674941663036037	24.8777297147026	1.29625729782786e-136	2.85343219570694e-135
MYCTH_2299276	7984.51398898537	-0.649051861261168	0.056685114312806	-11.4501288235832	2.34796318194537e-30	1.02266575417081e-29
MYCTH_2299277	195.534332457983	0.261035570521686	0.189836364990945	1.37505567246896	0.169114185532207	0.195367042244176
MYCTH_2299279	596.484171025365	-0.66407745547955	0.105492436227452	-6.29502435651151	3.07351595822977e-10	6.70364675250167e-10
MYCTH_2314252	396.856537179731	2.58244831722775	0.185151781046998	13.9477368385251	3.24747611016216e-44	1.97641349902762e-43
MYCTH_2086714	1931.74095324516	0.0769982946672359	0.090727990855665	0.848671881092671	0.396063896938321	0.430502049947048
MYCTH_2299284	244.556417421385	1.14743303128928	0.166270111390623	6.90101799831948	5.16311900930927e-12	1.22504261780868e-11
MYCTH_2299286	1180.3832944533	-0.0768549178005155	0.0922835604100301	-0.832812664130396	0.404950391273917	0.439547496574794
MYCTH_2299288	1490.30765665463	-0.85743470103544	0.0779549472238443	-10.9991056574428	3.85940518213467e-28	1.56329643210119e-27
MYCTH_38365	427.055124717163	-1.01858028673417	0.145397172695679	-7.00550270579261	2.46100578125303e-12	5.93121094986481e-12
MYCTH_89534	372.744705490668	0.167698936978969	0.155576359256783	1.07792043585605	0.281069264668161	0.312855337755552
MYCTH_2299291	3168.84961627543	0.831386403648583	0.0700124881126743	11.874830134741	1.59958646463317e-32	7.39193680337499e-32
MYCTH_2299295	483.319157649906	-2.13435891524225	0.131343972516778	-16.2501474132709	2.22827994594907e-59	1.8435518045567e-58
MYCTH_2299297	2999.19216865199	1.71954148011786	0.0710205420584252	24.211888987038	1.66755594346133e-129	3.3757166770353e-128
MYCTH_2299299	4373.07518617183	-0.0816849193569117	0.067967721830343	-1.20181929241072	0.229433549105591	0.259529654027897
MYCTH_2299301	1086.09692044744	-0.0268313964650763	0.0842462988143791	-0.318487540018752	0.750115144620413	0.773511076997182
MYCTH_2299302	519.740106339028	-0.831356292505951	0.109308081218487	-7.60562515816396	2.83529963017915e-14	7.39076734649135e-14
MYCTH_2086729	1207.42043048252	-0.338707994782177	0.0854756495713413	-3.96262557208738	7.41299942608044e-05	0.000117061819017848
MYCTH_2299306	1327.27899282884	0.302260249670454	0.0844784164011416	3.57795828268355	0.000346288704117069	0.000520588162456893
MYCTH_2299308	2449.61999926407	0.378009622249416	0.0668604295556856	5.65371213977299	1.57019099861193e-08	3.12614404117972e-08
MYCTH_2299309	1338.69589574765	0.146967591867016	0.0821215554842592	1.78963477981351	0.0735126434687673	0.0892385548657576
MYCTH_2086739	2902.43753351658	1.39992663767061	0.0696199598711205	20.1081218699656	6.26515020096918e-90	8.26632991847444e-89
MYCTH_2299314	159.207651038029	-1.36227147933113	0.190217382180196	-7.16165612057801	7.9708167858869e-13	1.95794905730205e-12
MYCTH_2299316	867.20476582186	1.83568933224317	0.112201639452978	16.3606284292528	3.65338271410735e-60	3.06705060597071e-59
MYCTH_2314258	1504.13638889657	0.286505422987736	0.0804028631401928	3.56337338992737	0.000366119321119975	0.00054972466188854
MYCTH_2299319	375.639168801319	-0.597912987552839	0.12864086778795	-4.64792408380228	3.35292259371603e-06	5.8060821375107e-06
MYCTH_2055575	439.026201394324	1.94204599366055	0.158506706721713	12.2521376781247	1.6362522859197e-34	8.01557684458261e-34
MYCTH_2299321	398.383912710375	0.711597943480508	0.130638673606185	5.44706956858462	5.12064390955187e-08	9.88682610991943e-08
MYCTH_2124399	25.8121170072312	-3.29287691531322	0.56415507235274	-5.83682940504404	5.3203520164526e-09	1.08730726293278e-08
MYCTH_2299322	896.275942229513	-0.529517223574108	0.0935420904338892	-5.66073754732202	1.50723790436526e-08	3.00570055311592e-08
MYCTH_73602	444.164539755381	-0.691010236923786	0.125101832202167	-5.52358206718426	3.32157033728369e-08	6.47895371256498e-08
MYCTH_73601	561.473742445992	-0.451193570160169	0.128491998026716	-3.51145267479115	0.000445664805386006	0.000665543726634176
MYCTH_2053677	980.382738678692	0.298418421616537	0.0894892971994245	3.33468281633188	0.000853967457231739	0.00124489672050994
MYCTH_2299329	1144.40931333636	0.190836129757639	0.0849962952014344	2.24522879856555	0.0247534482286291	0.0317073713061707
MYCTH_2299331	2897.36274047588	0.42973022022423	0.0718333055973149	5.9823255612546	2.19974039539139e-09	4.59535911337801e-09
MYCTH_2074154	4388.98340338648	1.09286571368338	0.0768417403184332	14.2222925867442	6.66336720967038e-46	4.2016504724895e-45
MYCTH_2086765	1637.39547517259	-0.307367490566891	0.0758049253865931	-4.05471661635923	5.01951172497927e-05	8.01455881055332e-05
MYCTH_2299335	1280.10515508109	0.692861816304053	0.104139537540364	6.65320619496222	2.86775977422218e-11	6.57473278357818e-11
MYCTH_89510	11.7443460573896	-1.45196157899195	0.697582354536618	-2.08141959089037	0.0373955170279238	0.0469321137784129
MYCTH_2299337	150.320935050194	1.53926809853528	0.244555598637692	6.29414377388962	3.09101235617344e-10	6.74009136896184e-10
MYCTH_2299338	970.115033702738	-0.58808912433052	0.0872098609689028	-6.74337876241105	1.54745107129945e-11	3.59198252196725e-11
MYCTH_2299339	3612.76113869859	0.560475879630129	0.072651794111452	7.71454974353871	1.21410076552549e-14	3.21370783777272e-14
MYCTH_2086777	7404.62451880745	-1.27447285728693	0.0657606986810279	-19.380464059069	1.12824953149562e-83	1.37428175507781e-82
MYCTH_2299343	1090.40713270385	-0.0731706461928196	0.108030341215781	-0.677315700101956	0.498205671642842	0.531605628196593
MYCTH_2116212	163.119918512128	-0.262932934321918	0.187040643657908	-1.40575293786315	0.159797501306586	0.185237038539095
MYCTH_2299349	9185.42734547024	-2.88144941244926	0.056403660738465	-51.0862127515108	0	0
MYCTH_2299350	380.80921347645	0.768713266458497	0.143182336984894	5.36877161419426	7.92747318097025e-08	1.51186977391199e-07
MYCTH_39559	159.12544643673	0.931001316991697	0.198388576133641	4.69281717292301	2.69468293614727e-06	4.69663545333382e-06
MYCTH_2299355	1472.81677221549	0.251578592977755	0.0807897169290252	3.11399275230498	0.00184574023689177	0.00262237823934034
MYCTH_2074176	9619.4315330472	-0.150707271419952	0.0574107855808177	-2.62506896387614	0.0086631418671053	0.0115783492754835
MYCTH_2299360	7179.30838444826	-0.162664920012676	0.058092667154951	-2.80009384969016	0.00510877513069276	0.0069815578429815
MYCTH_112924	1137.21104068795	-1.47188328611436	0.0904975580683321	-16.2643425693651	1.76754072542691e-59	1.46377671487724e-58
MYCTH_2299367	2814.15661203321	-0.360425732773097	0.0637969186049733	-5.64957901814713	1.608412396098e-08	3.19926488914917e-08
MYCTH_2299369	323.023555422433	0.856376204149286	0.152607867474469	5.61161241763998	2.00450001022472e-08	3.96592735387113e-08
MYCTH_2299371	753.311575678462	0.115184633833679	0.131157040797522	0.878219218223281	0.37982476457214	0.413946337349888
MYCTH_2299373	1095.29546865793	1.28761697269633	0.0956290769160986	13.4647014717713	2.52335997120358e-41	1.44273267808596e-40
MYCTH_104827	1622.22632214103	2.70140063037347	0.0944736460008823	28.5942243654727	7.92694544983609e-180	2.54226344145867e-178
MYCTH_2299379	200.742769135465	0.587330006288456	0.200626534203012	2.92747920219836	0.00341721914912419	0.00474641485384436
MYCTH_2299383	13620.2871388368	2.45440408722913	0.0699162920591125	35.1048949385644	5.67578590052283e-270	3.03760966663606e-268
