GO	GENE	CLASS
GO:0003700	MYCTH_2316740	MF
GO:0004553	MYCTH_62925	MF
GO:0016409	MYCTH_2298276	MF
GO:0022857	MYCTH_2053430	MF
GO:0016021	MYCTH_2297485	CC
GO:0006412	MYCTH_2297332	BP
GO:0005515	MYCTH_2084627	MF
GO:0005838	MYCTH_2084627	CC
GO:0051287	MYCTH_2314616	MF
GO:0016616	MYCTH_2314616	MF
GO:0000049	MYCTH_2304525	MF
GO:0005975	MYCTH_52160	BP
GO:0004512	MYCTH_66338	MF
GO:0003924	MYCTH_2077803	MF
GO:0005525	MYCTH_2077803	MF
GO:0003824	MYCTH_2294109	MF
GO:0005739	MYCTH_2304541	CC
GO:0016020	MYCTH_108044	CC
GO:0016021	MYCTH_108044	CC
GO:0022857	MYCTH_108044	MF
GO:0005515	MYCTH_2303473	MF
GO:0016020	MYCTH_108565	CC
GO:0000155	MYCTH_2297639	MF
GO:0000160	MYCTH_2297639	BP
GO:0016310	MYCTH_2297639	BP
GO:0005525	MYCTH_2297489	MF
GO:0003924	MYCTH_2297489	MF
GO:0001682	MYCTH_2115868	BP
GO:0004843	MYCTH_2311710	MF
GO:0003824	MYCTH_2312474	MF
GO:0003866	MYCTH_2312474	MF
GO:0003856	MYCTH_2312474	MF
GO:0003855	MYCTH_2312474	MF
GO:0016765	MYCTH_2312474	MF
GO:0004764	MYCTH_2312474	MF
GO:0003700	MYCTH_2297066	MF
GO:0003824	MYCTH_2301934	MF
GO:0004160	MYCTH_2301934	MF
GO:0016836	MYCTH_2301934	MF
GO:0006355	MYCTH_113457	BP
GO:0003700	MYCTH_113457	MF
GO:0003723	MYCTH_2309871	MF
