GO	GENE	CLASS
GO:0022857	ANI_1_274014	MF
GO:0055085	ANI_1_274014	BP
GO:0022857	ANI_1_274014	MF
GO:0000981	ANI_1_2342014	MF
GO:0042025	ANI_1_2342014	CC
GO:0008270	ANI_1_2342014	MF
GO:0006355	ANI_1_2342014	BP
GO:0022857	ANI_1_2344014	MF
GO:0055085	ANI_1_2344014	BP
GO:0022857	ANI_1_2344014	MF
GO:0016787	ANI_1_284014	MF
GO:0006351	ANI_1_286014	BP
GO:0033588	ANI_1_288014	CC
GO:0002098	ANI_1_288014	BP
GO:0006388	ANI_1_292014	BP
GO:0006388	ANI_1_292014	BP
GO:0000213	ANI_1_292014	MF
GO:0000379	ANI_1_292014	BP
GO:0000213	ANI_1_292014	MF
GO:0000214	ANI_1_292014	CC
GO:0003676	ANI_1_292014	MF
GO:0004518	ANI_1_292014	MF
GO:0000213	ANI_1_292014	MF
GO:0006388	ANI_1_292014	BP
GO:0004540	ANI_1_294014	MF
GO:0003723	ANI_1_294014	MF
GO:0006396	ANI_1_294014	BP
GO:0004540	ANI_1_294014	MF
GO:0006396	ANI_1_294014	BP
GO:0030677	ANI_1_294014	CC
GO:0003723	ANI_1_294014	MF
GO:0004540	ANI_1_294014	MF
GO:0003723	ANI_1_294014	MF
GO:0030677	ANI_1_294014	CC
GO:0008033	ANI_1_294014	BP
GO:0001682	ANI_1_294014	BP
GO:0004526	ANI_1_294014	MF
GO:0055114	ANI_1_2346014	BP
GO:0016491	ANI_1_2346014	MF
GO:0005524	ANI_1_2348014	MF
GO:0071933	ANI_1_302014	MF
GO:0034316	ANI_1_302014	BP
GO:0003779	ANI_1_302014	MF
GO:0007165	ANI_1_306014	BP
GO:0005525	ANI_1_306014	MF
GO:0016020	ANI_1_306014	CC
GO:0005525	ANI_1_306014	MF
GO:0005525	ANI_1_306014	MF
GO:0003924	ANI_1_306014	MF
GO:0016491	ANI_1_310014	MF
GO:0043565	ANI_1_314014	MF
GO:0008270	ANI_1_314014	MF
GO:0006355	ANI_1_314014	BP
GO:0003700	ANI_1_314014	MF
GO:0008270	ANI_1_314014	MF
GO:0008270	ANI_1_314014	MF
GO:0006355	ANI_1_314014	BP
GO:0003824	ANI_1_318014	MF
GO:0006281	ANI_1_318014	BP
GO:0055114	ANI_1_320014	BP
GO:0016491	ANI_1_320014	MF
GO:0046416	ANI_1_320014	BP
GO:0071949	ANI_1_320014	MF
GO:0003884	ANI_1_320014	MF
GO:0055114	ANI_1_320014	BP
GO:0003884	ANI_1_320014	MF
GO:0006662	ANI_1_326014	BP
GO:0045454	ANI_1_326014	BP
GO:0015035	ANI_1_326014	MF
GO:0045454	ANI_1_326014	BP
GO:0016192	ANI_1_330014	BP
GO:0006886	ANI_1_330014	BP
GO:0005794	ANI_1_330014	CC
GO:0016192	ANI_1_330014	BP
GO:0030121	ANI_1_330014	CC
GO:0016192	ANI_1_330014	BP
GO:0006886	ANI_1_330014	BP
GO:0030117	ANI_1_330014	CC
GO:0000981	ANI_1_334014	MF
GO:0042025	ANI_1_334014	CC
GO:0008270	ANI_1_334014	MF
GO:0006355	ANI_1_334014	BP
GO:0005634	ANI_1_334014	CC
