GO	GENE	CLASS
GO:0004672	TRIREDRAFT_44330	MF
GO:0006468	TRIREDRAFT_44330	BP
GO:0004672	TRIREDRAFT_44330	MF
GO:0008081	TRIREDRAFT_44366	MF
GO:0006629	TRIREDRAFT_44366	BP
GO:0003723	TRIREDRAFT_44386	MF
GO:0006412	TRIREDRAFT_44386	BP
GO:0003735	TRIREDRAFT_44386	MF
GO:0005840	TRIREDRAFT_44386	CC
GO:0016151	TRIREDRAFT_44389	MF
GO:0003924	TRIREDRAFT_44389	MF
GO:0006807	TRIREDRAFT_44389	BP
GO:0003676	TRIREDRAFT_44399	MF
GO:0005737	TRIREDRAFT_44419	CC
GO:0006412	TRIREDRAFT_44434	BP
GO:0005840	TRIREDRAFT_44434	CC
GO:0003735	TRIREDRAFT_44434	MF
GO:0006412	TRIREDRAFT_44434	BP
GO:0003735	TRIREDRAFT_44434	MF
GO:0005840	TRIREDRAFT_44434	CC
GO:0009451	TRIREDRAFT_44449	BP
GO:0009982	TRIREDRAFT_44449	MF
GO:0003723	TRIREDRAFT_44449	MF
GO:0001522	TRIREDRAFT_44449	BP
GO:0006396	TRIREDRAFT_44449	BP
GO:0003723	TRIREDRAFT_44449	MF
GO:0005524	TRIREDRAFT_44459	MF
GO:0006260	TRIREDRAFT_44459	BP
GO:0003677	TRIREDRAFT_44459	MF
GO:0055085	TRIREDRAFT_44476	BP
GO:0005524	TRIREDRAFT_44476	MF
GO:0016021	TRIREDRAFT_44476	CC
GO:0042626	TRIREDRAFT_44476	MF
GO:0005524	TRIREDRAFT_44476	MF
GO:0016887	TRIREDRAFT_44476	MF
GO:0005524	TRIREDRAFT_44476	MF
GO:0016021	TRIREDRAFT_44476	CC
GO:0016070	TRIREDRAFT_44488	BP
GO:0051028	TRIREDRAFT_44488	BP
GO:0045292	TRIREDRAFT_44488	BP
GO:0000339	TRIREDRAFT_44488	MF
GO:0005846	TRIREDRAFT_44488	CC
GO:0030150	TRIREDRAFT_44492	BP
GO:0008320	TRIREDRAFT_44492	MF
GO:0005741	TRIREDRAFT_44492	CC
GO:0055085	TRIREDRAFT_44492	BP
GO:0005741	TRIREDRAFT_44492	CC
GO:0005978	TRIREDRAFT_44529	BP
GO:0004373	TRIREDRAFT_44529	MF
GO:0016787	TRIREDRAFT_44624	MF
GO:0006569	TRIREDRAFT_44628	BP
GO:0005737	TRIREDRAFT_44628	CC
GO:0030429	TRIREDRAFT_44628	MF
GO:0009435	TRIREDRAFT_44628	BP
GO:0030170	TRIREDRAFT_44628	MF
GO:0003824	TRIREDRAFT_44628	MF
GO:0015105	TRIREDRAFT_44640	MF
GO:0016021	TRIREDRAFT_44640	CC
GO:0015700	TRIREDRAFT_44640	BP
GO:0004386	TRIREDRAFT_53044	MF
GO:0003676	TRIREDRAFT_53044	MF
GO:0005524	TRIREDRAFT_53044	MF
GO:0005515	TRIREDRAFT_53044	MF
GO:0004386	TRIREDRAFT_53044	MF
GO:0003676	TRIREDRAFT_53044	MF
GO:0005524	TRIREDRAFT_53044	MF
GO:0005515	TRIREDRAFT_53044	MF
GO:0007018	TRIREDRAFT_102378	BP
GO:0008017	TRIREDRAFT_102378	MF
GO:0005524	TRIREDRAFT_102378	MF
GO:0003777	TRIREDRAFT_102378	MF
