Geneid,C_1,C_2,C_3,T_1,T_2,T_3
MYCTH_2294663,581,1015,932,816,762,688
MYCTH_2294664,1855,2671,2623,10388,9799,6923
MYCTH_2313362,12323,21774,19798,20198,26670,22384
MYCTH_2122256,1851,3079,3178,3778,4839,4205
MYCTH_2294675,2541,4319,4053,3107,4580,4221
MYCTH_2294679,7939,13036,13078,44235,56554,46608
MYCTH_2294684,723,1277,1166,1865,2422,1878
MYCTH_2294689,471,850,866,2265,2525,2152
MYCTH_98838,330,519,550,403,418,386
MYCTH_2131574,14302,23343,20492,39057,52347,45263
MYCTH_2037019,389,566,706,575,817,657
MYCTH_2106248,355,579,469,973,1361,1094
MYCTH_2294698,1594,2455,2389,2873,3731,3098
MYCTH_2294700,584,906,890,1991,2418,1948
MYCTH_2141429,2964,5076,4632,6723,8691,7224
MYCTH_2294705,4768,7505,7655,11490,15436,12319
MYCTH_2037035,558,923,754,777,1137,965
MYCTH_2294706,608,827,766,5074,6522,5279
MYCTH_2294707,1898,2841,2736,4629,5675,5144
MYCTH_2053230,29,32,42,24,21,17
MYCTH_2313370,19685,34047,30886,48197,62384,55055
MYCTH_2294711,1,7,5,1,0,0
MYCTH_2294713,1133,1771,1601,4129,5069,4234
MYCTH_35909,739,1218,1227,2302,2908,2473
MYCTH_2106260,2429,3537,3556,12493,15930,12619
MYCTH_2087474,1934,3370,3030,6696,8683,6955
MYCTH_2294721,4135,6724,6351,5222,6491,5364
MYCTH_2294727,4646,7833,7670,8641,11527,9189
MYCTH_2074876,1081,1946,1774,1667,2149,1878
MYCTH_2294730,772,1316,1166,2375,3242,2774
MYCTH_2294733,840,1124,1056,6171,7942,6371
MYCTH_2294734,11304,18030,16080,29463,38954,33675
MYCTH_2294738,997,1438,1529,4650,6507,5287
MYCTH_62175,1033,1771,1578,2311,3078,2656
MYCTH_2055617,193,317,297,241,272,203
MYCTH_2136549,522,915,897,1013,1118,794
MYCTH_2294749,949,1452,1326,3306,4329,3473
MYCTH_2294752,174,310,309,1235,1575,1212
MYCTH_2294755,1762,2775,2569,3821,4890,3814
MYCTH_2294757,773,1255,967,2394,3159,2579
MYCTH_2294760,1571,2278,2218,11502,14810,12147
MYCTH_2294761,734,923,802,1929,2886,2447
MYCTH_2074905,5503,8975,8817,12307,15094,11921
MYCTH_2313379,6669,11653,10400,17716,21298,19017
MYCTH_2294768,2183,3515,3547,11179,11862,8260
MYCTH_2087521,869,1587,1358,1006,1289,992
MYCTH_44797,305,464,478,570,791,728
MYCTH_2294774,427,770,659,1283,1701,1429
MYCTH_2049886,0,0,0,0,0,0
MYCTH_75987,0,0,0,0,0,0
MYCTH_41898,0,0,0,0,0,0
MYCTH_2294775,1484,2446,2008,2739,3569,2986
MYCTH_2294783,499,834,835,4887,6488,5214
MYCTH_2294784,840,1392,1285,1723,2162,1909
MYCTH_2294789,267,344,379,1382,1862,1406
MYCTH_2294791,1567,2686,2366,3003,4144,3405
MYCTH_2114377,961,1431,1462,2830,3624,3027
MYCTH_2294793,79,167,146,956,1259,1079
MYCTH_2294795,788,1432,1275,1291,1755,1455
MYCTH_2294799,295,483,389,1665,2091,1694
MYCTH_2294800,968,1463,1537,2120,2754,2267
MYCTH_2294802,1620,2713,2453,4146,5316,4371
MYCTH_2294805,1861,3019,2876,2710,3100,2923
MYCTH_90985,378,674,557,4020,4802,3967
MYCTH_2294810,623,1010,952,686,1085,934
MYCTH_2294811,4538,7435,7152,10433,13082,11634
MYCTH_2294813,1925,3086,2965,3509,3762,3542
MYCTH_2294814,257,493,481,572,678,595
MYCTH_2294815,590,1036,1054,1226,1641,1279
MYCTH_2294816,634,1236,1145,933,1049,934
MYCTH_2294817,1550,2533,2358,6316,7417,6156
MYCTH_2055659,1785,2785,2898,2155,2666,2172
MYCTH_2294820,369,669,516,997,1215,1094
MYCTH_2294821,4543,7441,8057,10272,14203,12342
MYCTH_2294824,23,41,29,27,28,22
MYCTH_2294825,264,447,426,1778,1904,1555
MYCTH_2114395,4099,6904,6891,27983,36326,29697
MYCTH_2141471,368,643,495,1367,1832,1721
MYCTH_2294830,967,1419,1198,3605,4683,3643
MYCTH_2294835,2216,3884,3419,7976,9496,8059
MYCTH_2294840,11517,18745,18469,43511,49088,39044
MYCTH_2294844,855,1363,1307,2102,2579,2115
MYCTH_2294846,468,598,616,2486,3201,2539
MYCTH_2294851,1187,1944,2066,1165,1416,1215
MYCTH_2294852,662,1016,1139,2078,2525,2288
MYCTH_98907,47,60,38,557,857,524
MYCTH_2294854,274,404,386,630,947,656
MYCTH_2294858,35,33,64,25,20,34
MYCTH_2294860,1852,3249,3014,5224,7110,5974
MYCTH_2055845,486,647,636,1606,1904,1625
MYCTH_2294863,649,1054,878,2055,2890,2394
MYCTH_2294864,317,545,526,577,708,646
MYCTH_2294867,436,808,705,1206,1428,1131
MYCTH_113886,3246,5537,4855,7162,8912,7354
MYCTH_2294870,533,794,735,1843,2849,2349
MYCTH_2294872,488,965,825,2128,2384,2157
MYCTH_2313396,3202,5103,4862,7660,10072,8614
MYCTH_2294878,5031,8304,8440,5696,4390,3408
MYCTH_2055546,66,101,79,172,146,107
MYCTH_2294886,890,1510,1383,2005,2430,1902
MYCTH_2141486,14254,24526,23193,26721,34531,29465
MYCTH_2294895,14975,23288,21558,12551,16476,14069
MYCTH_2294897,1424,2190,2307,1666,1832,1592
MYCTH_2141489,726,1234,1007,2237,2848,2476
MYCTH_41855,1478,2564,2385,2678,3698,3354
MYCTH_2313405,919,1515,1693,1844,2328,1709
MYCTH_98929,404,760,714,608,698,562
MYCTH_2114422,2733,4469,4527,3035,3684,3200
MYCTH_105777,1070,1648,1478,6994,8562,7159
MYCTH_2313408,9264,14925,14141,25409,34666,28385
MYCTH_2294923,1482,2393,2362,2813,3686,3164
MYCTH_2294926,284,451,416,1425,1989,1610
MYCTH_2122366,7,13,9,7,1,6
MYCTH_2294928,859,1134,1139,6501,9078,6851
MYCTH_2294934,1857,3282,2737,7609,10452,9169
MYCTH_2294938,2246,3869,3449,1455,1780,1385
MYCTH_76096,1164,2062,2048,3517,4902,4066
MYCTH_2294942,895,1377,1242,4027,5823,4964
MYCTH_2294943,3430,5647,5050,5343,6319,5704
MYCTH_2294947,2672,4514,4112,8726,11875,10164
MYCTH_2106347,106,171,191,152,132,116
MYCTH_62332,812,1276,1157,1758,2405,1964
MYCTH_105786,696,1139,1051,1398,1772,1525
MYCTH_2294959,4818,7633,6845,33957,41906,36286
MYCTH_2294962,736,1136,1077,1584,1839,1771
MYCTH_42937,159,230,175,735,893,770
MYCTH_2294970,925,1394,1093,9591,12114,7683
MYCTH_2294977,318,447,504,322,364,322
MYCTH_2294980,135,177,104,3357,4299,2900
MYCTH_113912,361,580,484,1693,2397,1869
MYCTH_2294987,879,1460,1290,1978,2640,2376
MYCTH_2294991,2101,3675,3699,5129,6388,5274
MYCTH_2294994,600,929,915,1994,2854,2301
MYCTH_98955,447,766,692,1059,1159,904
MYCTH_2294996,311,438,383,744,1041,795
MYCTH_2294998,618,1182,1046,1996,2541,2441
MYCTH_2294999,473,900,771,924,1265,1149
MYCTH_76126,2196,3608,3535,23089,30895,25180
MYCTH_2295005,7295,12145,11502,21858,26474,21889
MYCTH_2295009,5502,9977,6860,12418,14760,11805
MYCTH_2141513,101883,177787,180091,161681,202839,173406
MYCTH_2295015,160,237,270,547,583,383
MYCTH_2295017,41,77,75,34,49,38
MYCTH_2295019,612,909,932,1855,2612,2507
MYCTH_2295020,648,975,831,1551,2249,1886
MYCTH_2295025,3856,6415,5512,16929,23610,20798
MYCTH_43573,848,1413,1320,2180,2912,2523
MYCTH_2295033,143,230,215,334,428,372
MYCTH_2295034,368,599,479,975,1116,974
MYCTH_2114467,36,46,75,15,35,31
MYCTH_2295037,751,1063,935,7861,10081,8648
MYCTH_2295038,733,1214,1277,2372,2843,2271
MYCTH_2295039,642,983,930,1438,1672,1468
MYCTH_2295040,8938,14932,13067,27278,35957,30813
MYCTH_2295044,733,1300,977,3162,4449,3460
MYCTH_2141524,1123,1897,1662,4664,6122,4867
MYCTH_2295050,1601,2661,2271,5282,6848,6022
MYCTH_76163,2871,5200,4401,6061,8190,7424
MYCTH_2295056,930,1576,1450,3049,4048,3087
MYCTH_2313432,21193,33656,29296,192287,257594,215159
MYCTH_2295064,0,0,0,12,7,4
MYCTH_2075102,3549,6642,5895,10514,13072,11178
MYCTH_2295068,3841,6112,5952,7367,9142,7616
MYCTH_2295069,12759,21077,20700,25039,30832,26660
MYCTH_91076,0,0,0,0,1,0
MYCTH_2050269,0,0,0,0,0,0
MYCTH_91077,0,0,0,3,1,0
MYCTH_2295071,1175,1857,1795,699,902,709
MYCTH_2040280,103,230,200,93,106,76
MYCTH_2295074,33,93,83,325,486,300
MYCTH_2295075,23,32,26,201,261,205
MYCTH_2295076,108,139,140,819,1048,882
MYCTH_42071,286,465,395,19832,24913,19119
MYCTH_2295083,19975,33544,31563,43580,54617,45842
