Gene	Pathway
TRIREDRAFT_53302	Metabolic pathways
TRIREDRAFT_53318	Metabolic pathways
TRIREDRAFT_5337	Metabolic pathways
TRIREDRAFT_53526	Metabolic pathways
TRIREDRAFT_53567	Metabolic pathways
TRIREDRAFT_53731	Metabolic pathways
TRIREDRAFT_5377	Metabolic pathways
TRIREDRAFT_5387	Metabolic pathways
TRIREDRAFT_53964	Metabolic pathways
TRIREDRAFT_53989	Metabolic pathways
TRIREDRAFT_54071	Metabolic pathways
TRIREDRAFT_54086	Metabolic pathways
TRIREDRAFT_54128	Metabolic pathways
TRIREDRAFT_54179	Metabolic pathways
TRIREDRAFT_54181	Metabolic pathways
TRIREDRAFT_54260	Metabolic pathways
TRIREDRAFT_54283	Metabolic pathways
TRIREDRAFT_54330	Metabolic pathways
TRIREDRAFT_54366	Metabolic pathways
TRIREDRAFT_54508	Metabolic pathways
TRIREDRAFT_54525	Metabolic pathways
TRIREDRAFT_54550	Metabolic pathways
TRIREDRAFT_54554	Metabolic pathways
TRIREDRAFT_54564	Metabolic pathways
TRIREDRAFT_54667	Metabolic pathways
TRIREDRAFT_54676	Metabolic pathways
TRIREDRAFT_54870	Metabolic pathways
TRIREDRAFT_54886	Metabolic pathways
TRIREDRAFT_54991	Metabolic pathways
TRIREDRAFT_55055	Metabolic pathways
TRIREDRAFT_55088	Metabolic pathways
TRIREDRAFT_55114	Metabolic pathways
TRIREDRAFT_55123	Metabolic pathways
TRIREDRAFT_55161	Metabolic pathways
TRIREDRAFT_55179	Metabolic pathways
TRIREDRAFT_55204	Metabolic pathways
TRIREDRAFT_55245	Metabolic pathways
TRIREDRAFT_55319	Metabolic pathways
TRIREDRAFT_55321	Metabolic pathways
TRIREDRAFT_55341	Metabolic pathways
TRIREDRAFT_55353	Metabolic pathways
TRIREDRAFT_55534	Metabolic pathways
TRIREDRAFT_55627	Metabolic pathways
TRIREDRAFT_55631	Metabolic pathways
TRIREDRAFT_55681	Metabolic pathways
TRIREDRAFT_55928	Metabolic pathways
TRIREDRAFT_55999	Metabolic pathways
TRIREDRAFT_56002	Metabolic pathways
TRIREDRAFT_56081	Metabolic pathways
TRIREDRAFT_56117	Metabolic pathways
TRIREDRAFT_56203	Metabolic pathways
TRIREDRAFT_56236	Metabolic pathways
TRIREDRAFT_56267	Metabolic pathways
TRIREDRAFT_56418	Metabolic pathways
TRIREDRAFT_56448	Metabolic pathways
TRIREDRAFT_5645	Metabolic pathways
TRIREDRAFT_56470	Metabolic pathways
TRIREDRAFT_56614	Metabolic pathways
TRIREDRAFT_56631	Metabolic pathways
TRIREDRAFT_56638	Metabolic pathways
TRIREDRAFT_56687	Metabolic pathways
TRIREDRAFT_56690	Metabolic pathways
TRIREDRAFT_56726	Metabolic pathways
TRIREDRAFT_56812	Metabolic pathways
TRIREDRAFT_56934	Metabolic pathways
TRIREDRAFT_56996	Metabolic pathways
TRIREDRAFT_57045	Metabolic pathways
TRIREDRAFT_57128	Metabolic pathways
TRIREDRAFT_57141	Metabolic pathways
TRIREDRAFT_57263	Metabolic pathways
TRIREDRAFT_57302	Metabolic pathways
TRIREDRAFT_57322	Metabolic pathways
TRIREDRAFT_57430	Metabolic pathways
TRIREDRAFT_57528	Metabolic pathways
TRIREDRAFT_57535	Metabolic pathways
TRIREDRAFT_5776	Metabolic pathways
TRIREDRAFT_57868	Metabolic pathways
TRIREDRAFT_57947	Metabolic pathways
TRIREDRAFT_57965	Metabolic pathways
TRIREDRAFT_57975	Metabolic pathways
TRIREDRAFT_58055	Metabolic pathways
TRIREDRAFT_58073	Metabolic pathways
TRIREDRAFT_58117	Metabolic pathways
TRIREDRAFT_5812	Metabolic pathways
TRIREDRAFT_58162	Metabolic pathways
TRIREDRAFT_58170	Metabolic pathways
TRIREDRAFT_58188	Metabolic pathways
TRIREDRAFT_58201	Metabolic pathways
TRIREDRAFT_58356	Metabolic pathways
TRIREDRAFT_58412	Metabolic pathways
TRIREDRAFT_58450	Metabolic pathways
TRIREDRAFT_58472	Metabolic pathways
TRIREDRAFT_58493	Metabolic pathways
TRIREDRAFT_5850	Metabolic pathways
TRIREDRAFT_58550	Metabolic pathways
TRIREDRAFT_58574	Metabolic pathways
TRIREDRAFT_58609	Metabolic pathways
TRIREDRAFT_58613	Metabolic pathways
TRIREDRAFT_58651	Metabolic pathways
TRIREDRAFT_58689	Metabolic pathways
TRIREDRAFT_58701	Metabolic pathways
TRIREDRAFT_58790	Metabolic pathways
TRIREDRAFT_58815	Metabolic pathways
TRIREDRAFT_58837	Metabolic pathways
TRIREDRAFT_5888	Metabolic pathways
TRIREDRAFT_59068	Metabolic pathways
TRIREDRAFT_59081	Metabolic pathways
TRIREDRAFT_59082	Metabolic pathways
TRIREDRAFT_59196	Metabolic pathways
